model,dataset,total_params,classical_params,quantum_params
QHSA-Net,PaviaU,17125121,17124649,472
SSRN,PaviaU,925673,925673,0
DBDA,PaviaU,29112,29112,0
3D-CNN-Only,PaviaU,25641,25641,0
HybridSN,PaviaU,147833,147833,0
QHSA-Net,IndianPines,33217160,33216688,472
SSRN,IndianPines,1224560,1224560,0
DBDA,IndianPines,30015,30015,0
3D-CNN-Only,IndianPines,26544,26544,0
HybridSN,IndianPines,149632,149632,0
QHSA-Net,Salinas,33880712,33880240,472
SSRN,Salinas,1236848,1236848,0
DBDA,Salinas,30015,30015,0
3D-CNN-Only,Salinas,26544,26544,0
HybridSN,Salinas,149632,149632,0
SVM,PaviaU,0,0,0
SVM,IndianPines,0,0,0
SVM,Salinas,0,0,0
